Application,Actual Extension
git,git
git terminal,git
git bash,git
python3,python3
python2,python
python,python
ping,ping
notepad,notepad
Camera,microsoft.windows.camera:
3d builder,com.microsoft.builder3d:
action center,ms-actioncenter:
alarm,ms-clock:
clock,ms-clock:
alarms and clock,ms-clock:
available wifi connections,ms-availablenetworks:
wifi networks,ms-availablenetworks:
available networks,ms-availablenetworks:
calculator,calculator:
calendar,outlookcal:
candy crush,candycrushsodasaga:
candy crush soda saga,candycrushsodasaga:
connect,ms-projection:
cortana,ms-cortana:
cortana connected services,ms-cortana://notebook/?ConnectedServices
cortana personal information,ms-cortana://settings/ManageBingProfile
device discovery,ms-settings-connectabledevices:devicediscovery
drawboard pdf,drawboardpdf:
fb,fb:
facebook,fb:
feedback hub,feedback-hub:
contact support,ms-contact-support:
get help,ms-contact-support:
groove music,mswindowsmusic:
mail,outlookmail:
maps,ms-walk-to:
bing maps,bingmaps:
windows maps,ms-drive-to:
chat,ms-chat:
microsoft chat,ms-chat:
messaging,ms-chat:
edge,microsoft-edge:
microsoft edge,microsoft-edge:
news,bingnews:
microsoft news,bingnews:
solitaire,xboxliveapp-1297287741:
microsoft solitaire collection,xboxliveapp-1297287741:
store,ms-windows-store:
microsoft store,ms-windows-store:
microsoft music,microsoftmusic:
microsoft store - music,microsoftmusic:
microsoft store  movies and tv,microsoftvideo:
whiteboard,ms-whiteboard-cmd:
microsoft whiteboard,ms-whiteboard-cmd:
minecraft,minecraft:
reality camera,ms-holocamera:
holo camera,ms-holocamera:
mixed reality camera,ms-holocamera:
reality portal,ms-holographicfirstrun:
mixed reality portal,ms-holographicfirstrun:
movies,mswindowsvideo:
tv,mswindowsvideo:
movies and tv,mswindowsvideo:
onenote,onenote:
paint,ms-paint:
paint 3d,ms-paint:
people,ms-people:
photos,ms-photos:
project display,ms-settings-displays-topology:projection
settings,ms-settings:
tips,ms-get-started:
twitter,twitter:
3d viewer,com.microsoft.3dviewer:
view 3d preview,com.microsoft.3dviewer:
recorder,ms-callrecording:
voice recorder,ms-callrecording:
weather,bingweather:
windows mixed reality environments,ms-environment-builder:
parental controls,ms-wpc:
windows parental controls,ms-wpc:
security,windowsdefender:
windows security,windowsdefender:
xbox,xbox:
xbox  friends list,xbox-friendfinder:
xbox profile page,xbox-profile:
xbox network settings,xbox-network:
xbox settings,xbox-settings:
xbox one smartglass,smartglass:
settings,ms-settings:
display,ms-settings:display
"night light settings	",ms-settings:nightlight
sound,ms-settings:sound
notifications ,ms-settings:notifications
focus assist,ms-settings:quiethours
power and sleep,ms-settings:powersleep
battery saver,ms-settings:batterysaver
 battery usage,ms-settings:batterysaver-usagedetails
 battery saver,ms-settings:batterysaver-settings
storage,ms-settings:storagesense
save locations,ms-settings:savelocations
storage ploicies,ms-settings:storagepolicies
tablet mode,ms-settings:tabletmode
multitasking,ms-settings:multitasking
project,ms-settings:project
shared experiences,ms-settings:crossdevice
clipboard,ms-settings:clipboard
remote desktop,ms-settings:remotedesktop
about,ms-settings:about
bluetooth,ms-settings:bluetooth
printers,ms-settings:printers
mouse,ms-settings:mousetouchpad
touchpad,ms-settings:devices-touchpad
typing,ms-settings:typing
pen,ms-settings:pen
autoplay,ms-settings:autoplay
usb,ms-settings:usb
phone,ms-settings:mobile-devices
network status,ms-settings:network-status
network cellular,ms-settings:network-cellular
wifi,ms-settings:network-wifi
wifi settings,ms-settings:network-wifisettings
wifi calling,ms-settings:network-wificalling
ethernet,ms-settings:network-ethernet
dialup,ms-settings:network-dialup
vpn,ms-settings:network-vpn
airplane mode,ms-settings:network-airplanemode
mobile hotspot,ms-settings:network-mobilehotspot
data usage,ms-settings:datausage
proxy,ms-settings:network-proxy
background,ms-settings:personalization-background
colors,ms-settings:colors
lock screen,ms-settings:lockscreen
themes,ms-settings:themes
fonts,ms-settings:fonts
start,ms-settings:personalization-start
taskbar,ms-settings:taskbar
features,ms-settings:appsfeatures
apps ,ms-settings:appsfeatures
manage optional features,ms-settings:optionalfeatures
default apps,ms-settings:defaultapps
offline maps,ms-settings:maps
apps for websites,ms-settings:appsforwebsites
video playback,ms-settings:videoplayback
startup,ms-settings:startupapps
your info,ms-settings:yourinfo
Email,ms-settings:emailandaccounts
signin options,ms-settings:signinoptions
workplace,ms-settings:workplace
family and other people,ms-settings:otherusers
sync your settings,ms-settings:sync
date and time,ms-settings:dateandtime
region and language,ms-settings:regionlanguage
speech,ms-settings:speech
game bar,ms-settings:gaming-gamebar
game dvr,ms-settings:gaming-gamedvr
broadcasting,ms-settings:gaming-broadcasting
game mode,ms-settings:gaming-gamemode
trueplay,ms-settings:gaming-trueplay
xbox networking,ms-settings:gaming-xboxnetworking
display,ms-settings:easeofaccess-display
magnifier,ms-settings:easeofaccess-magnifier
color filters,ms-settings:easeofaccess-colorfilter
high contrast,ms-settings:easeofaccess-highcontrast
narrator,ms-settings:easeofaccess-narrator
audio,ms-settings:easeofaccess-audio
closed captions,ms-settings:easeofaccess-closedcaptioning
speech,ms-settings:easeofaccess-speechrecognition
keyboard,ms-settings:easeofaccess-keyboard
mouse,ms-settings:easeofaccess-mouse
eye control,ms-settings:easeofaccess-eyegaze
other options,ms-settings:easeofaccess-otheroptions
talk cortana,ms-settings:cortana
permissions ,ms-settings:cortana-permissions
notifications,ms-settings:cortana-notifications
more details,ms-settings:cortana-moredetails
general,ms-settings:privacy-general
speechtyping,ms-settings:privacy-speechtyping
feedback,ms-settings:privacy-feedback
activity history,ms-settings:privacy-activityhistory
location,ms-settings:privacy-location
camera,ms-settings:privacy-webcam
microphone,ms-settings:privacy-microphone
notifications,ms-settings:privacy-notifications
account info,ms-settings:privacy-accountinfo
contacts,ms-settings:privacy-contacts
call history,ms-settings:privacy-callhistory
email,ms-settings:privacy-email
tasks,ms-settings:privacy-tasks
messaging,ms-settings:privacy-messaging
radios,ms-settings:privacy-radios
other devices,ms-settings:privacy-customdevices
background apps,ms-settings:privacy-backgroundapps
app diagnostics,ms-settings:privacy-appdiagnostics
automatic file downloads,ms-settings:privacy-automaticfiledownloads
documents,ms-settings:privacy-documents
pictures,ms-settings:privacy-pictures
videos,ms-settings:privacy-videos
file system,ms-settings:privacy-broadfilesystemaccess
windows update,ms-settings:windowsupdate
check for updates,ms-settings:windowsupdate-action
update history,ms-settings:windowsupdate-history
restart options,ms-settings:windowsupdate-restartoptions
advanced options,ms-settings:windowsupdate-options
windows defender,ms-settings:windowsdefender
backup,ms-settings:backup
troubleshoot,ms-settings:troubleshoot
recovery,ms-settings:recovery
activation,ms-settings:activation
find my device,ms-settings:findmydevice
for developers,ms-settings:developers
windows insider program,ms-settings:windowsinsider
holographicaudio,ms-settings:holographic-audio
outlook,outlookmail:
